127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/js/plugin-install.min.js?ver=5.9.2 HTTP/1.0" 200 2403
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/dist/date.min.js?ver=a9a5af167fc60fa1bfda62582a7beb3c HTTP/1.0" 200 202264
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.0" 200 13194
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/wp-sanitize.min.js?ver=5.9.2 HTTP/1.0" 200 458
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.29.1 HTTP/1.0" 200 58325
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/js/media-upload.min.js?ver=5.9.2 HTTP/1.0" 200 1152
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/shortcode.min.js?ver=5.9.2 HTTP/1.0" 200 2650
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/js/updates.min.js?ver=5.9.2 HTTP/1.0" 200 41173
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/js/svg-painter.js?ver=5.9.2 HTTP/1.0" 200 5522
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/wp-auth-check.min.js?ver=5.9.2 HTTP/1.0" 200 1658
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/heartbeat.min.js?ver=5.9.2 HTTP/1.0" 200 5877
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/js/edit-comments.min.js?ver=5.9.2 HTTP/1.0" 200 15268
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.13.1 HTTP/1.0" 200 8527
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/wplink.min.js?ver=5.9.2 HTTP/1.0" 200 11270
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.13.1 HTTP/1.0" 200 10116
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/wp-emoji-release.min.js?ver=5.9.2 HTTP/1.0" 200 18181
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/images/about-texture.png HTTP/1.0" 200 146755
